product_price,discount_applied,shipping_time,order_quantity,Total_Order_Value,Discount_Percentage,High_Discount,Fast_Shipping,Returned
193.52465823520762,9.256646441930982,7,5,967.6232911760382,4.783187076181559,0,0,0
475.8500101408589,27.095047368917907,3,3,1427.5500304225766,5.694031058420563,0,1,0
368.6770314875885,43.647291793820415,7,3,1106.0310944627656,11.838896396042452,0,0,1
303.3426572565479,36.61124432047806,8,3,910.0279717696437,12.069269997036585,0,0,0
86.44913381679389,40.328057393072484,6,7,605.1439367175573,46.649463809015316,1,0,0
86.4373149647393,32.93916833553587,9,7,605.0612047531752,38.1075792890754,1,0,0
38.460969962417735,34.613828225892625,6,7,269.22678973692416,89.99728363511281,1,0,1
434.4263114297182,42.459782578265965,9,8,3475.410491437746,9.773759429655343,0,0,1
304.54635575417234,12.483400442959297,4,5,1522.7317787708616,4.09901488134562,0,0,0
356.95556312006227,24.471248182157023,8,5,1784.7778156003114,6.855544698129862,0,0,0
20.086402204943198,11.060472090980111,4,4,80.34560881977279,55.06447584853282,1,0,1
485.2558275593772,49.38340039983235,2,7,3396.7907929156404,10.176776371385186,0,1,0
417.8968939922066,47.202966984330665,9,4,1671.5875759688265,11.295362005062175,0,0,0
114.04616423235531,1.971340568425295,5,2,228.09232846471062,1.7285461389204868,0,0,0
99.09423393147931,35.27875862578442,4,4,396.37693572591724,35.60122241842913,1,0,1
99.86820982818257,46.26241587078329,2,8,798.9456786254606,46.323465645749614,1,1,1
159.0786990501735,9.028767256366677,1,9,1431.7082914515615,5.675660732879768,0,1,0
267.13065149979656,28.397261527631475,7,3,801.3919544993896,10.63047664811056,0,0,0
221.65305913463672,45.774414879402094,6,7,1551.571413942457,20.651379709403315,0,0,0
152.70227869704053,1.697298929289942,2,9,1374.3205082733648,1.111508579814557,0,1,0
309.8079184139659,34.871013362342,8,4,1239.2316736558637,11.255688215091805,0,0,1
78.3519917195005,14.867450368627539,4,3,235.0559751585015,18.97520412991273,0,0,0
153.15087778225688,46.21980976882652,8,5,765.7543889112844,30.179265335024585,1,0,0
189.51730321390895,48.552912258268385,7,1,189.51730321390895,25.619250292658773,0,0,0
233.47429226634762,47.213324455671696,5,3,700.4228767990428,20.222065563351492,0,0,0
394.73622108257666,23.71071083287319,8,8,3157.8897686606133,6.006722861116168,0,0,0
107.84015325759627,43.10213254946567,9,8,862.7212260607702,39.96853792159235,1,0,0
261.9748748226697,42.22746992675352,5,4,1047.8994992906787,16.118900698144135,0,0,0
300.2831387424008,15.955023662162782,5,2,600.5662774848016,5.313326525419687,0,0,0
